Linux 6.17.0-23-generic (admin1-ASUS-TUF-Gaming-A15-FA507NU-FA507NU) 	05/11/26 	_x86_64_	(16 CPU)

14:38:25      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
14:38:26        0     82032   35.00    1.00    0.00    0.00   36.00    10  slam_gmapping

14:38:25      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14:38:26        0     82032      1.00      0.00  948704  102756   0.66  slam_gmapping

14:38:26      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
14:38:27        0     82032   13.00    0.00    0.00    0.00   13.00    10  slam_gmapping

14:38:26      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14:38:27        0     82032   2422.00      0.00  948704  102760   0.66  slam_gmapping

14:38:27      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
14:38:28        0     82032   21.00    1.00    0.00    0.00   22.00     4  slam_gmapping

14:38:27      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14:38:28        0     82032      0.00      0.00  948704  102760   0.66  slam_gmapping

14:38:28      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
14:38:29        0     82032   42.00    1.00    0.00    0.00   43.00     0  slam_gmapping

14:38:28      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14:38:29        0     82032   2425.00      0.00  948704  102760   0.66  slam_gmapping

14:38:29      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
14:38:30        0     82032   14.00    0.00    0.00    0.00   14.00     6  slam_gmapping

14:38:29      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14:38:30        0     82032      0.00      0.00  948704  102760   0.66  slam_gmapping

14:38:30      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
14:38:31        0     82032   33.00    1.00    0.00    0.00   34.00    12  slam_gmapping

14:38:30      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14:38:31        0     82032      1.00      0.00  948704  102760   0.66  slam_gmapping

14:38:31      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
14:38:32        0     82032   31.00    0.00    0.00    0.00   31.00     6  slam_gmapping

14:38:31      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14:38:32        0     82032   2597.00      0.00  948704  102760   0.66  slam_gmapping

14:38:32      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
14:38:33        0     82032   14.00    1.00    0.00    0.00   15.00     6  slam_gmapping

14:38:32      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14:38:33        0     82032      0.00      0.00  948704  102760   0.66  slam_gmapping

14:38:33      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
14:38:34        0     82032   44.00    1.00    0.00    0.00   45.00     2  slam_gmapping

14:38:33      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14:38:34        0     82032   2603.00      0.00  948704  102760   0.66  slam_gmapping

14:38:34      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
14:38:35        0     82032   10.00    0.00    0.00    0.00   10.00    10  slam_gmapping

14:38:34      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14:38:35        0     82032      0.00      0.00  948704  102760   0.66  slam_gmapping

14:38:35      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
14:38:36        0     82032   14.85    0.99    0.00    0.00   15.84     2  slam_gmapping

14:38:35      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14:38:36        0     82032      0.00      0.00  948704  102760   0.66  slam_gmapping

14:38:36      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
14:38:37        0     82032   46.00    3.00    0.00    0.00   49.00    12  slam_gmapping

14:38:36      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14:38:37        0     82032  17264.00      0.00 1001084  155208   1.00  slam_gmapping

14:38:37      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
14:38:38        0     82032   25.00    1.00    0.00    0.00   26.00     6  slam_gmapping

14:38:37      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14:38:38        0     82032      0.00      0.00 1001084  155208   1.00  slam_gmapping

14:38:38      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
14:38:39        0     82032   46.00    0.00    0.00    0.00   46.00    14  slam_gmapping

14:38:38      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14:38:39        0     82032   2640.00      0.00 1001084  155208   1.00  slam_gmapping

14:38:39      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
14:38:40        0     82032   12.00    0.00    0.00    0.00   12.00     2  slam_gmapping

14:38:39      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14:38:40        0     82032      0.00      0.00 1001084  155208   1.00  slam_gmapping

14:38:40      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
14:38:41        0     82032   15.00    1.00    0.00    0.00   16.00     0  slam_gmapping

14:38:40      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14:38:41        0     82032      0.00      0.00 1001084  155208   1.00  slam_gmapping

14:38:41      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
